uni,score,year
University of Glasgow,89.0,2018
Glasgow Caledonian University,81.0,2018
Glasgow School of Art.,71.0,2018
University of Gloucestershire,84.0,2018
Gloucestershire College,88.0,2018
Goldsmiths' College,80.0,2018
Gower College Swansea,77.0,2018
Greater Brighton Metropolitan College,80.0,2018
University of Greenwich,79.0,2018
Grimsby Institute of Further and Higher Education,85.0,2018
The Growth Company Limited,82.0,2018
GSM London Limited,78.0,2018
Guildhall School of Music & Drama,90.0,2018
Coleg Gwent,86.0,2018
Hadlow College,81.0,2018
Halesowen College,96.0,2018
Harlow College,77.0,2018
Harper Adams University,93.0,2018
Hartlepool College of Further Education,85.0,2018
Hartpury University,86.0,2018
Havant and South Downs College,63.0,2018
HCUC,86.0,2018
Heart of Worcestershire College,71.0,2018
Hereford College of Arts,90.0,2018
"Herefordshire , Ludlow, and North Shropshire College",89.0,2018
Heriot-Watt University,83.0,2018
Hertford Regional College,83.0,2018
University of Hertfordshire,83.0,2018
University of the Highlands and Islands,79.0,2018
Holy Cross College,83.0,2018
Hopwood Hall College,92.0,2018
The University of Huddersfield,87.0,2018
Hugh Baird College,82.0,2018
The University of Hull,84.0,2018
Hull College,79.0,2018
ICMP Management Limited,67.0,2018
ICON College of Technology and Management Ltd,90.0,2018
"Imperial College of Science, Technology and Medicine",84.0,2018
"Institute for Children, Youth and Mission",78.0,2018
The College of Integrated Chinese Medicine,91.0,2018
Inter-ED UK Limited,81.0,2018
Isle of Wight College,77.0,2018
Istituto Marangoni Limited,59.0,2018
Italia Conti Academy of Theatre Arts Limited(The),85.0,2018
Kaplan Open Learning (Essex) Limited,93.0,2018
University of Keele,88.0,2018
Kensington and Chelsea College,65.0,2018
Kensington Education Foundation Limited,90.0,2018
The University of Kent,87.0,2018
The Kingham Hill Trust,95.0,2018
Kingston Maurward College,36.0,2018
Kingston University,80.0,2018
Kirklees College,75.0,2018
Lakes College West Cumbria,88.0,2018
The University of Lancaster,91.0,2018
Lancaster and Morecambe College,73.0,2018
The University of Law Limited,85.0,2018
The University of Leeds,89.0,2018
Leeds Arts University,91.0,2018
Leeds Beckett University,82.0,2018
Leeds City College,74.0,2018
Leeds Trinity University,90.0,2018
The University of Leicester,86.0,2018
Leicester College,80.0,2018
University of Lincoln,86.0,2018
Lincoln College,94.0,2018
Liverpool Hope University,90.0,2018
The Liverpool Institute for Performing Arts,90.0,2018
Liverpool John Moores University,86.0,2018
London Bridge Business Academy Limited,100.0,2018
London Churchill College Ltd,88.0,2018
University of London Institute in Paris,64.0,2018
The London Institute of Banking & Finance,92.0,2018
London Metropolitan University,78.0,2018
The London School of Economics and Political Science,74.0,2018
London School of Management Education Limited,91.0,2018
London School of Science & Technology Limited,81.0,2018
London School of Theology,96.0,2018
London South Bank University,81.0,2018
London Studio Centre Limited,94.0,2018
Loughborough College,78.0,2018
Loughborough University,92.0,2018
LTE Group,73.0,2018
Manchester Metropolitan University,83.0,2018
The Markfield Institute of Higher Education,75.0,2018
Matrix College of Counselling and Psychotherapy Ltd,100.0,2018
Matrix Training Consultancy Limited,100.0,2018
Met Film School Limited,45.0,2018
Middlesbrough College,88.0,2018
Middlesex University,80.0,2018
Mid-Kent College,80.0,2018
Milton Keynes College,68.0,2018
Mont Rose College of Management and Sciences Limited,98.0,2018
Moorlands College,92.0,2018
Moulton College,59.0,2018
Mountview Academy of Theatre Arts Limited,89.0,2018
Myerscough College,85.0,2018
NCG,74.0,2018
Tertiary Education Services Limited,92.0,2018
Grŵp Colegau NPTC Group of Colleges,64.0,2018
Nelson and Colne College,90.0,2018
Nelson College London Limited,97.0,2018
New City College,79.0,2018
New College Durham,82.0,2018
New College Stamford,83.0,2018
New College Swindon,80.0,2018
Newcastle and Stafford Colleges Group,83.0,2018
University of Newcastle upon Tyne,88.0,2018
Newham Training and Education Centre,100.0,2018
Newman University,81.0,2018
Nexus Institute of Creative Arts,91.0,2018
Norland College Limited,89.0,2018
North East Surrey College of Technology (NESCOT),80.0,2018
North Hertfordshire College,85.0,2018
North Kent College,65.0,2018
North Warwickshire and South Leicestershire College,56.0,2018
"University of Northampton, The",83.0,2018
Northampton College,75.0,2018
Northern College of Acupuncture,95.0,2018
The Northern School of Art,91.0,2018
Northumberland College,84.0,2018
University of Northumbria at Newcastle,85.0,2018
Norwich University of the Arts,82.0,2018
Nottingham College,81.0,2018
Nottingham Trent University,89.0,2018
"University of Nottingham, The",86.0,2018
Nova Centric Limited,82.0,2018
Oaklands College,84.0,2018
The Oldham College,83.0,2018
The Open University,86.0,2018
Osteopathic Education and Research Limited,92.0,2018
The College of Osteopaths,70.0,2018
University College of Osteopathy (The),82.0,2018
Oxford Brookes University,83.0,2018
Pearson College Limited,81.0,2018
Pembrokeshire College,100.0,2018
Pen Green Centre,100.0,2018
Peter Symonds College,93.0,2018
Peterborough Regional College,17.0,2018
Petroc,84.0,2018
Platform One (IOW) Limited,90.0,2018
Plumpton College,51.0,2018
University of Plymouth,85.0,2018
Plymouth College of Art,83.0,2018
Point Blank Limited,100.0,2018
University of Portsmouth,88.0,2018
Preston College,67.0,2018
"Queen Margaret University, Edinburgh",77.0,2018
Queen Mary University of London,83.0,2018
The Queen's Foundation for Ecumenical Theological Education,86.0,2018
Queen's University of Belfast,87.0,2018
Ravensbourne University London,74.0,2018
The University of Reading,84.0,2018
Reaseheath College,77.0,2018
Regent's University London,83.0,2018
"Richmond, the American International University in London, Inc.",78.0,2018
Riverside College,85.0,2018
RNN Group,91.0,2018
The Robert Gordon University,86.0,2018
Roehampton University,83.0,2018
Rose Bruford College of Theatre and Performance,86.0,2018
Royal Academy of Dance,52.0,2018
The Royal Academy of Music,93.0,2018
The Royal Agricultural University,87.0,2018
Royal College of Music,86.0,2018
Royal Holloway and Bedford New College,88.0,2018
Royal Northern College of Music,89.0,2018
The Royal Veterinary College,94.0,2018
Royal Welsh College of Music and Drama,86.0,2018
RTC Education Ltd,90.0,2018
Runshaw College,86.0,2018
Ruskin College,100.0,2018
SAE Education Limited,48.0,2018
"University of Salford, The",84.0,2018
Salford City College,64.0,2018
The Salvation Army,96.0,2018
Selby College,64.0,2018
"Sheffield College, The",86.0,2018
Sheffield Hallam University,85.0,2018
Sherwood Counselling & Psychotherapy Limited,100.0,2018
Shrewsbury Colleges Group,79.0,2018
Slough Borough Council,100.0,2018
Solent University,81.0,2018
Solihull College and University Centre,84.0,2018
Somerset County Council,100.0,2018
South & City College Birmingham,89.0,2018
South Devon College,92.0,2018
South Essex College of Further and Higher Education,78.0,2018
South Gloucestershire and Stroud College,75.0,2018
South Staffordshire College,92.0,2018
South Thames Colleges Group,82.0,2018
University of South Wales,78.0,2018
University of Southampton,83.0,2018
Southampton City College,100.0,2018
Southport College,75.0,2018
Sparsholt College,84.0,2018
Spirit SSR Limited,77.0,2018
SRUC,77.0,2018
University Campus St Albans Limited,73.0,2018
University of St Andrews,94.0,2018
St Helens College,83.0,2018
University of St Mark & St John,84.0,2018
St Mary's University College,92.0,2018
"St Mary's University, Twickenham",85.0,2018
St Mellitus College Trust,87.0,2018
St. George's Hospital Medical School,82.0,2018
St. Patrick's International College Limited,80.0,2018
Staffordshire University,85.0,2018
Stephenson College,43.0,2018
University of Stirling,86.0,2018
Stockton Riverside College,83.0,2018
Stoke on Trent College,90.0,2018
Stranmillis University College,90.0,2018
Stratford College London Limited,98.0,2018
University of Strathclyde,87.0,2018
Strode College,79.0,2018
University of Suffolk,77.0,2018
University of Sunderland,84.0,2018
City of Sunderland College,79.0,2018
The University of Surrey,87.0,2018
University of Sussex,88.0,2018
Swansea University,88.0,2018
Swindon College,83.0,2018
Tameside College,61.0,2018
Teesside University,82.0,2018
Telford College,65.0,2018
Tottenham Hotspur Foundation,96.0,2018
The Trafford College Group,79.0,2018
Trinity College (Bristol) Limited,100.0,2018
Trinity Laban Conservatoire of Music and Dance,83.0,2018
Truro and Penwith College,85.0,2018
Tyne Coast College,78.0,2018
UCFB College of Football Business Limited,33.0,2018
UCK Limited,86.0,2018
UK College of Business and Computing Ltd,93.0,2018
University of Ulster,83.0,2018
Unified Seevic Palmer's College,100.0,2018
United Colleges Group,79.0,2018
Wakefield College,91.0,2018
University of Wales Trinity Saint David,85.0,2018
Warrington & Vale Royal College,78.0,2018
The University of Warwick,86.0,2018
Warwickshire College,65.0,2018
West Herts College,83.0,2018
West Kent and Ashford College,93.0,2018
The University of West London,85.0,2018
West London College of Business & Management Sciences Limited,81.0,2018
West Nottinghamshire College,77.0,2018
"University of the West of England, Bristol",88.0,2018
University of the West of Scotland,83.0,2018
West Suffolk College,71.0,2018
West Thames College,62.0,2018
The University of Westminster,80.0,2018
Weston College of Further and Higher Education,83.0,2018
Weymouth College,86.0,2018
Whitefield Academy Trust,89.0,2018
Wigan and Leigh College,78.0,2018
Wiltshire College and University Centre,71.0,2018
University of Winchester,85.0,2018
The Windsor Forest Colleges Group,85.0,2018
Wirral Metropolitan College,69.0,2018
The WKCIC Group,74.0,2018
University of Wolverhampton,82.0,2018
University of Worcester,84.0,2018
Wrexham Glyndŵr University,82.0,2018
Writtle University College,71.0,2018
Coleg y Cymoedd,81.0,2018
Yeovil College,51.0,2018
YMCA George Williams Company,83.0,2018
University of York,88.0,2018
York College,70.0,2018
York St John University,82.0,2018
Medway School of Pharmacy,86.0,2018
Hull and York Medical School,84.0,2018
Brighton and Sussex Medical School,99.0,2018
University of Aberdeen,84.54,2022
Abertay University,79.02,2022
Aberystwyth University,83.21,2022
Abingdon and Witney College,85.0,2022
ACM Guildford Limited,43.37,2022
Activate Learning,70.19,2022
AECC University College,54.76,2022
Amity Global Education Ltd,100.0,2022
Anglia Ruskin University Higher Education Corporation,74.31,2022
Architectural Association (Incorporated),77.27,2022
Arden University Limited,75.95,2022
Arts Educational Schools(The),91.3,2022
"Arts University Bournemouth, the",72.37,2022
Arts University Plymouth,68.73,2022
"University of the Arts, London",58.29,2022
Ashton Sixth Form College,100.0,2022
Askham Bryan College,67.35,2022
Aston University,75.0,2022
Backstage Academy (training) Ltd,36.67,2022
Bangor University,74.55,2022
Barnet & Southgate College,81.82,2022
Barnsley College,83.76,2022
Basingstoke College of Technology,90.91,2022
The University of Bath,86.06,2022
Bath College,68.42,2022
Bath Spa University,71.7,2022
BCNO Limited,84.85,2022
Bedford College,67.31,2022
University of Bedfordshire,68.6,2022
Belfast Metropolitan College,79.54,2022
BIMM University Limited,64.03,2022
Birkbeck College,75.19,2022
The University of Birmingham,71.9,2022
University College Birmingham,75.42,2022
Birmingham City University,72.2,2022
Birmingham Community Healthcare NHS Foundation Trust,94.74,2022
Birmingham Metropolitan College,65.0,2022
Bishop Auckland College,83.33,2022
Bishop Burton College,72.07,2022
Bishop Grosseteste University,71.84,2022
Blackburn College,75.9,2022
Blackpool and the Fylde College,78.51,2022
Bloomsbury Institute Limited,88.57,2022
The University of Bolton,79.91,2022
Bolton College,71.43,2022
Boston College,80.0,2022
"Bournemouth and Poole College, The",70.45,2022
Bournemouth University,61.24,2022
BPP University Limited,66.54,2022
The University of Bradford,74.86,2022
Bradford College,75.0,2022
Bridgend College,83.75,2022
Bridgwater and Taunton College,78.02,2022
University of Brighton,62.97,2022
Brighton Academy Limited,91.43,2022
University of Bristol,74.75,2022
Brockenhurst College,100.0,2022
Brooklands College,100.0,2022
Brunel University London,58.62,2022
The University of Buckingham,82.11,2022
Buckinghamshire New University,69.96,2022
Burnley College,68.0,2022
Burton and South Derbyshire College,97.78,2022
Calderdale College,88.24,2022
Cambridge Arts & Sciences Limited,78.57,2022
Cambridge Regional College,76.19,2022
The Cambridge Theological Federation,96.0,2022
Canterbury Christ Church University,65.28,2022
Capel Manor College,75.0,2022
Cardiff and Vale College,71.93,2022
Cardiff Metropolitan University,75.83,2022
Cardiff University,72.29,2022
Cardinal Newman College,100.0,2022
Central Bedfordshire College,75.0,2022
University of Central Lancashire,68.46,2022
Central School of Ballet Charitable Trust Limited(the),76.19,2022
University Centre Peterborough,78.82,2022
Cheshire College South and West,86.96,2022
University of Chester,72.95,2022
The University of Chichester,80.78,2022
Chichester College Group,72.54,2022
The Chicken Shed Theatre Trust,75.86,2022
City and Guilds of London Art School Limited,88.0,2022
City College Norwich,75.39,2022
City College Plymouth,81.67,2022
City of Bristol College,75.9,2022
The City of Liverpool College,96.3,2022
City of Sunderland College,79.86,2022
City of Wolverhampton College,82.35,2022
"City, University of London",68.21,2022
Cliff College,93.75,2022
Colchester Institute,59.18,2022
The Conservatoire for Dance and Drama,64.52,2022
Contemporary Dance Trust Limited,65.63,2022
Cornwall College,72.06,2022
Courtauld Institute of Art,75.0,2022
Coventry University,76.05,2022
Craven College,70.37,2022
University for the Creative Arts,66.84,2022
Croydon College,80.0,2022
The University of Cumbria,69.08,2022
CWR,85.71,2022
Darlington College,88.46,2022
David Game College Ltd,78.34,2022
DCG,87.5,2022
De Montfort University,65.24,2022
University of Derby,77.66,2022
DN Colleges Group,74.11,2022
Doreen Bird College of Performing Arts Ltd.,90.24,2022
Drama Studio London Limited,85.71,2022
University of Dundee,78.77,2022
University of Durham,80.86,2022
The University of East Anglia,76.66,2022
East Coast College,76.36,2022
East Durham College,88.24,2022
University of East London,72.1,2022
East Sussex College Group,72.92,2022
Edge Hill University,73.91,2022
University of Edinburgh,71.07,2022
Edinburgh Napier University,81.08,2022
The Education Training Collective,73.4,2022
The Edward James Foundation Limited,86.36,2022
EKC Group,62.5,2022
Elim Foursquare Gospel Alliance,78.79,2022
Empire College London Limited,100.0,2022
The University of Essex,72.16,2022
University College of Estate Management,74.68,2022
University of Exeter,76.47,2022
Exeter College,77.61,2022
Falmouth University,72.49,2022
Fareham College,69.23,2022
Farnborough College of Technology,81.63,2022
Fashion Retail Academy,70.94,2022
The Film Education Training Trust Limited,58.33,2022
ForMission Ltd,94.12,2022
Furness College,80.0,2022
Futureworks Training Limited,86.75,2022
Gateshead College,60.0,2022
University of Glasgow,83.68,2022
Glasgow Caledonian University,78.14,2022
Glasgow School of Art,52.73,2022
Global Banking School Limited,92.21,2022
University of Gloucestershire,74.5,2022
Gloucestershire College,78.95,2022
Goldsmiths' College,61.54,2022
Gower College Swansea,74.47,2022
University of Greenwich,72.37,2022
The Growth Company Limited,80.0,2022
Grwp Llandrillo Menai,77.14,2022
Guildhall School of Music & Drama,78.57,2022
Coleg Gwent,77.44,2022
Hadlow College,65.67,2022
Halesowen College,68.75,2022
Hammond School Limited (The),55.56,2022
Harper Adams University,84.22,2022
Hartlepool College of Further Education,81.25,2022
Hartpury University,80.27,2022
Havant and South Downs College,78.57,2022
Heart of Worcestershire College,76.19,2022
Heart of Yorkshire Education Group,86.21,2022
Hereford College of Arts,84.0,2022
"Herefordshire, Ludlow, and North Shropshire College",75.0,2022
Heriot-Watt University,79.36,2022
Hertford Regional College,78.95,2022
University of Hertfordshire,74.14,2022
University of the Highlands and Islands,77.64,2022
Hopwood Hall College,100.0,2022
The University of Huddersfield,68.32,2022
Hugh Baird College,67.61,2022
The University of Hull,76.95,2022
Hull College,69.49,2022
Hy Education Limited,100.0,2022
ICMP Management Limited,52.1,2022
ICON College of Technology and Management Ltd,87.2,2022
"Imperial College of Science, Technology and Medicine",84.46,2022
"Institute for Children, Youth and Mission",94.44,2022
The College of Integrated Chinese Medicine,90.48,2022
Inter-ED UK Limited,85.71,2022
Iron Mill Education Limited,52.17,2022
Istituto Marangoni Limited,76.25,2022
Italia Conti Academy of Theatre Arts Limited(The),76.47,2022
Kaplan Open Learning (Essex) Limited,94.59,2022
University of Keele,80.63,2022
Kendal College,75.0,2022
Kensington Education Foundation Limited,95.65,2022
The University of Kent,75.88,2022
King's College London,73.42,2022
Kingston University,72.89,2022
Lakes College West Cumbria,70.83,2022
Lamda Limited,52.38,2022
The University of Lancaster,82.67,2022
The University of Law Limited,84.97,2022
LCCM AU UK Limited,76.47,2022
The University of Leeds,75.99,2022
Leeds Arts University,63.84,2022
Leeds Beckett University,74.39,2022
Leeds Conservatoire,68.85,2022
Leeds Trinity University,65.77,2022
The University of Leicester,75.95,2022
Leicester College,69.33,2022
University of Lincoln,78.28,2022
Lincoln College,74.14,2022
The University of Liverpool,78.65,2022
Liverpool Hope University,73.74,2022
The Liverpool Institute for Performing Arts,74.73,2022
Liverpool John Moores University,72.9,2022
Liverpool Media Academy Limited,91.55,2022
University College London,75.72,2022
London Bridge Business Academy Limited,95.0,2022
University of London Institute in Paris,73.68,2022
The London Institute of Banking & Finance,72.06,2022
London Metropolitan University,80.03,2022
London School of Commerce & IT Limited,100.0,2022
The London School of Economics and Political Science,76.86,2022
London School of Management Education Limited,96.36,2022
London School of Science & Technology Limited,89.03,2022
London School of Theology,69.77,2022
London South Bank University,66.32,2022
London South East Colleges,81.25,2022
London Studio Centre Limited,77.63,2022
Loughborough College,84.73,2022
Loughborough University,85.11,2022
LTE Group,66.92,2022
Luminate Education Group,80.59,2022
The University of Manchester,71.35,2022
Manchester Metropolitan University,69.87,2022
The Markfield Institute of Higher Education,96.0,2022
Matrix College of Counselling and Psychotherapy Ltd,88.46,2022
Met Film Limited,72.0,2022
Met Film School Limited,56.16,2022
The Metanoia Institute,81.25,2022
Middlesbrough College,79.49,2022
Middlesex University,68.85,2022
Mont Rose College of Management and Sciences Limited,92.35,2022
Moorlands College,95.83,2022
Morley College Limited,88.37,2022
Moulton College,67.57,2022
Mountview Academy of Theatre Arts Limited,68.18,2022
Myerscough College,81.7,2022
N D A Foundation,74.42,2022
National Centre for Circus Arts,65.0,2022
The National Childbirth Trust,86.96,2022
Nazarene Theological College,100.0,2022
NCG,76.68,2022
Grwp Colegau NPTC Group of Colleges,83.12,2022
Nelson and Colne College,75.51,2022
Nelson College London Limited,98.21,2022
New City College,71.43,2022
New College Durham,84.83,2022
New College Swindon,84.15,2022
Newbury College,100.0,2022
Newcastle and Stafford Colleges Group,88.68,2022
University of Newcastle upon Tyne,69.49,2022
Newman University,74.93,2022
Norland College Limited,87.18,2022
North East Surrey College of Technology (NESCOT),92.94,2022
North Hertfordshire College,58.33,2022
North Warwickshire and South Leicestershire College,85.71,2022
North West Regional College,75.63,2022
"University of Northampton, The",67.68,2022
Northeastern University - London,83.93,2022
Northern College of Acupuncture,82.61,2022
The Northern School of Art,78.06,2022
Northern School of Contemporary Dance,83.72,2022
University of Northumbria at Newcastle,69.29,2022
Norwich University of the Arts,72.46,2022
Nottingham College,58.33,2022
Nottingham Trent University,73.88,2022
"University of Nottingham, The",75.78,2022
Nova Centric Limited,69.52,2022
Numerica Risk Management and Consulting Ltd,90.0,2022
Oaklands College,81.82,2022
OLC (Europe) Limited,100.0,2022
The Oldham College,83.33,2022
The Open University,88.24,2022
School of Oriental and African Studies,74.41,2022
The College of Osteopaths,52.63,2022
University College of Osteopathy (The),67.92,2022
Oxford Brookes University,71.73,2022
Pearson College Limited,62.39,2022
Pen Green Centre,98.36,2022
Performers College Limited,95.35,2022
Peter Symonds College,77.08,2022
Petroc,65.56,2022
Platform One (IOW) Limited,76.19,2022
Plumpton College,64.71,2022
University of Plymouth,74.9,2022
Point Blank Limited,80.0,2022
University of Portsmouth,71.3,2022
Preston College,60.0,2022
QAHE (UR) Limited,68.85,2022
"Queen Margaret University, Edinburgh",79.04,2022
Queen Mary University of London,75.4,2022
Queen's University of Belfast,78.63,2022
Rambert School of Ballet and Contemporary Dance,94.74,2022
Ravensbourne University London,54.14,2022
The University of Reading,74.27,2022
Reaseheath College,73.46,2022
Regent's University London Limited,78.39,2022
"Richmond, the American International University in London, Inc.",79.1,2022
Riverside College,78.0,2022
RNN Group,81.16,2022
Robert Gordon University,83.54,2022
Roehampton University,73.05,2022
Rose Bruford College of Theatre and Performance,79.19,2022
Royal Academy of Dance,86.21,2022
Royal Academy of Dramatic Art,87.8,2022
The Royal Academy of Music,86.67,2022
The Royal Agricultural University,71.28,2022
The Royal Central School of Speech and Drama,60.36,2022
Royal College of Music,84.75,2022
Royal Conservatoire of Scotland,78.95,2022
Royal Holloway and Bedford New College,77.33,2022
Royal Northern College of Music,77.45,2022
Royal School of Needlework(The),81.82,2022
The Royal Veterinary College,73.39,2022
Royal Welsh College of Music and Drama,70.0,2022
RTC Education Ltd,89.82,2022
SAE Education Limited,75.0,2022
"University of Salford, The",68.42,2022
Salford City College,75.0,2022
The Salvation Army,73.33,2022
Screenology C.I.C.,32.26,2022
The University of Sheffield,79.55,2022
"Sheffield College, The",77.67,2022
Sheffield Hallam University,70.46,2022
The Sherwood Psychotherapy Training Institute Limited,70.37,2022
Shrewsbury Colleges Group,79.17,2022
The SMB Group,76.67,2022
"Solent University, Southampton",72.07,2022
Solihull College and University Centre,70.73,2022
Somerset County Council,90.91,2022
South & City College Birmingham,75.0,2022
South Devon College,74.19,2022
South Eastern Regional College,79.81,2022
South Essex College of Further and Higher Education,73.19,2022
South Gloucestershire and Stroud College,85.39,2022
South Staffordshire College,77.78,2022
South Thames Colleges Group,72.32,2022
University of South Wales,71.97,2022
South West College,79.47,2022
University of Southampton,79.34,2022
Southampton City College,66.67,2022
Southern Regional College,80.0,2022
Southport College,65.79,2022
Sparsholt College,76.47,2022
SRUC,76.1,2022
University Campus St Albans Limited,94.12,2022
University of St Andrews,93.34,2022
St Helens College,87.72,2022
University of St Mark & St John,81.55,2022
St Mary's University College,77.44,2022
"St Mary's University, Twickenham",80.97,2022
St Mellitus College Trust,92.31,2022
St. George's Hospital Medical School,61.33,2022
St. Piran's School (GB) Limited,81.18,2022
Staffordshire University,74.72,2022
University of Stirling,80.76,2022
Stranmillis University College,76.21,2022
University of Strathclyde,85.15,2022
Strode College,94.12,2022
University of Suffolk,72.44,2022
University of Sunderland,78.91,2022
The University of Surrey,80.48,2022
University of Sussex,74.98,2022
Swansea University,82.8,2022
Tameside College,81.82,2022
TEC Partnership,78.36,2022
Teesside University,67.53,2022
Telford College,72.5,2022
The Trafford College Group,66.67,2022
Trinity College (Bristol) Limited,95.65,2022
Trinity Laban Conservatoire of Music and Dance,70.56,2022
Truro and Penwith College,79.51,2022
Tyne Coast College,65.45,2022
UCFB College of Football Business Limited,63.78,2022
UCK Limited,90.79,2022
University of Ulster,80.85,2022
Unified Seevic Palmer's College,81.82,2022
United Colleges Group,86.21,2022
Urdang Schools Limited,67.39,2022
University of Wales Trinity Saint David,74.87,2022
The University of Warwick,83.24,2022
Warwickshire College,75.0,2022
West Herts College,82.8,2022
West Kent and Ashford College,92.0,2022
The University of West London,77.4,2022
"University of the West of England, Bristol",77.05,2022
University of the West of Scotland,73.69,2022
West Suffolk College,65.22,2022
Westcountry Schools Trust,90.0,2022
The University of Westminster,71.23,2022
Weston College of Further and Higher Education,80.95,2022
Weymouth College,77.27,2022
Whitefield Schools,86.96,2022
Wigan and Leigh College,82.61,2022
Wiltshire College and University Centre,69.09,2022
University of Winchester,69.88,2022
The Windsor Forest Colleges Group,88.24,2022
Wirral Metropolitan College,58.54,2022
The WKCIC Group,53.57,2022
University of Wolverhampton,70.66,2022
University of Worcester,77.2,2022
Wrexham Glyndwr University,75.32,2022
Writtle University College,79.46,2022
Coleg y Cymoedd,87.3,2022
Yeovil College,83.78,2022
University of York,77.92,2022
York College,85.19,2022
